Id,Label,Modularity_Class,Pageranks,Filter,Level1,liste2,25nisan,X,Y,Size,Color
45144825396,,34,1.5E-05,false,,,,0.272899,0.499071,0.002225,#ff9891
,,,,,,,,,,,
53681875334,,17,1.4E-05,false,,,,0.254822,0.551111,0.000788,#ffedad
,,,,,,,,,,,
4616506339,,28,1.5E-05,false,,,,0.405264,0.676816,0.001845,#ffec75
,,,,,,,,,,,
13369090537,evde_yenile,4,0.000253,true,true,,,0.24022,0.405987,0.255576,#ffd78a
,,,,,,,,,,,
1604076062,,19,1.6E-05,false,,,,0.375404,0.796878,0.002644,#ffd3ff
,,,,,,,,,,,
1811264135,,19,1.4E-05,false,,,,0.357034,0.801313,0.001416,#ffd3ff
,,,,,,,,,,,
14758451305,,34,1.5E-05,false,,,,0.354449,0.537935,0.00236,#ff9891
,,,,,,,,,,,
54080570601,,19,1.3E-05,false,,,,0.312868,0.74423,0.000443,#ffd3ff
,,,,,,,,,,,
8956500825,,28,1.4E-05,false,,,,0.399608,0.608713,0.000872,#ffec75
,,,,,,,,,,,
1290018825,,42,1.8E-05,false,,,,0.322882,0.66032,0.004981,#ffca71
,,,,,,,,,,,
6218460098,,19,1.5E-05,false,,,,0.355304,0.641151,0.001785,#ffd3ff
,,,,,,,,,,,
360723514,kadir_ezildi,19,3E-05,true,,,,0.392178,0.728781,0.017921,#ffd3ff
,,,,,,,,,,,
179824963,esraezmecii,19,2.9E-05,true,,,,0.429723,0.730519,0.016936,#ffd3ff
,,,,,,,,,,,
29449940,evcenf,41,2.1E-05,true,,,,0.44339,0.622939,0.008705,#7ab992
,,,,,,,,,,,
2098483785,,41,1.6E-05,false,,,,0.330137,0.535111,0.003192,#7ab992
,,,,,,,,,,,
37682737371,,29,1.3E-05,false,,,,0.280903,0.644358,0.000346,#d6acd2
,,,,,,,,,,,
52738362371,,19,1.3E-05,false,,,,0.334962,0.675548,0.000253,#ffd3ff
,,,,,,,,,,,
44745259786,,17,1.4E-05,false,,,,0.33681,0.738285,0.000658,#ffedad
,,,,,,,,,,,
1836326125,,34,1.4E-05,false,,,,0.3252,0.554114,0.001125,#ff9891
,,,,,,,,,,,
1697927727,,17,1.4E-05,false,,,,0.327187,0.453638,0.000854,#ffedad
,,,,,,,,,,,
6984293385,,48,1.4E-05,false,,,,0.351161,0.560289,0.001275,#6de8d8
,,,,,,,,,,,
2994335817,,34,1.5E-05,false,,,,0.306581,0.532323,0.001871,#ff9891
,,,,,,,,,,,
8672120184,,17,1.4E-05,false,,,,0.262522,0.561187,0.00049,#ffedad
,,,,,,,,,,,
48029427405,,17,1.5E-05,false,,,,0.295934,0.66575,0.002091,#ffedad
,,,,,,,,,,,
